,original,radar,syntax
50,"static int printNthElement ( int n ) {
  int arr [ ] = new int [ n + 1 ] ;
  arr [ 1 ] = 3 ;
  arr [ 2 ] = 5 ;
  for ( int i = 3 ;
  i <= n ;
  i ++ ) {
    if ( i % 2 != 0 ) arr [ i ] = arr [ i / 2 ] * 10 + 3 ;
    else arr [ i ] = arr [ ( i / 2 ) - 1 ] * 10 + 5 ;
  }
  return arr [ n ] ;
}
","static int prnitNthElement ( int n ) {
  int arr [ ] = new int [ n + 1 ] ;
  arr [ 1 ] = 3 ;
  arr [ 2 ] = 5 ;
  for ( int i = 3 ;
  i <= n ;
  i ++ ) {
    if ( i % 2 != 0 ) arr [ i ] = arr [ i / 2 ] * 10 + 3 ;
    else arr [ i ] = arr [ ( i / 2 ) - 1 ] * 10 + 5 ;
  }
  return arr [ n ] ;
}
","static int printNthElement ( int n ) {
  int arr [ ] = new int [ n + 1 ] ;
  arr [ 1 ] = 3 ;
  arr [ 2 ] = 5 ;
  for ( int i = 3 ;
  i <= n ;
  i ++ ) {
    if ( 0 != i % 2 ) arr [ i ] = arr [ i / 2 ] * 10 + 3 ;
    else arr [ i ] = arr [ ( i / 2 ) - 1 ] * 10 + 5 ;
  }
  return arr [ n ] ;
}"
51,"static int printNthElement ( int n ) {
  int arr [ ] = new int [ n + 1 ] ;
  arr [ 1 ] = 1 ;
  arr [ 2 ] = 2 ;
  for ( int i = 3 ;
  i <= n ;
  i ++ ) {
    if ( i % 2 != 0 ) arr [ i ] = arr [ i / 2 ] * 10 + 1 ;
    else arr [ i ] = arr [ ( i / 2 ) - 1 ] * 10 + 2 ;
  }
  return arr [ n ] ;
}
","static int printlnNthElement ( int n ) {
  int arr [ ] = new int [ n + 1 ] ;
  arr [ 1 ] = 1 ;
  arr [ 2 ] = 2 ;
  for ( int i = 3 ;
  i <= n ;
  i ++ ) {
    if ( i % 2 != 0 ) arr [ i ] = arr [ i / 2 ] * 10 + 1 ;
    else arr [ i ] = arr [ ( i / 2 ) - 1 ] * 10 + 2 ;
  }
  return arr [ n ] ;
}
","static int printNthElement ( int n ) {
  int arr [ ] = new int [ n + 1 ] ;
  arr [ 1 ] = 1 ;
  arr [ 2 ] = 2 ;
  int i = 3 ;
  while ( i <= n ) {
    if ( 0 != i % 2 ) arr [ i ] = arr [ i / 2 ] * 10 + 1 ;
    else arr [ i ] = arr [ ( i / 2 ) - 1 ] * 10 + 2 ;
    i ++ ;
  }
  return arr [ n ] ;
}"
52,"static int countPairs ( int arr [ ] , int n ) {
  int count = 0 ;
  int right = 0 , left = 0 ;
  boolean visited [ ] = new boolean [ n ] ;
  for ( int i = 0 ;
  i < n ;
  i ++ ) visited [ i ] = false ;
  while ( right < n ) {
    while ( right < n && ! visited [ arr [ right ] ] ) {
      count += ( right - left ) ;
      visited [ arr [ right ] ] = true ;
      right ++ ;
    }
    while ( left < right && ( right != n && visited [ arr [ right ] ] ) ) {
      visited [ arr [ left ] ] = false ;
      left ++ ;
    }
  }
  return count ;
}
","static int cuontPairs ( int arr [ ] , int n ) {
  int count = 0 ;
  int right = 0 , left = 0 ;
  boolean visited [ ] = new boolean [ n ] ;
  for ( int i = 0 ;
  i < n ;
  i ++ ) visited [ i ] = false ;
  while ( right < n ) {
    while ( right < n && ! visited [ arr [ right ] ] ) {
      count += ( right - left ) ;
      visited [ arr [ right ] ] = true ;
      right ++ ;
    }
    while ( left < right && ( right != n && visited [ arr [ right ] ] ) ) {
      visited [ arr [ left ] ] = false ;
      left ++ ;
    }
  }
  return count ;
}
","static int countPairs ( int arr [ ] , int n ) {
  int count = 0 ;
  int right = 0 , left = 0 ;
  boolean visited [ ] = new boolean [ n ] ;
  for ( int i = 0 ;
  i < n ;
  i ++ ) visited [ i ] = false ;
  while ( n > right ) {
    while ( right < n && ! visited [ arr [ right ] ] ) {
      count += ( right - left ) ;
      visited [ arr [ right ] ] = true ;
      right ++ ;
    }
    while ( left < right && ( right != n && visited [ arr [ right ] ] ) ) {
      visited [ arr [ left ] ] = false ;
      left ++ ;
    }
  }
  return count ;
}"
53,"public static int minSteps ( int arr [ ] , int n ) {
  int min_Steps = 0 ;
  for ( int i = 0 ;
  i < n ;
  i ++ ) {
    if ( i > 0 ) min_Steps += Math . abs ( arr [ i ] - arr [ i - 1 ] ) ;
    else min_Steps += Math . abs ( arr [ i ] ) ;
  }
  return min_Steps ;
}
","public static int minLex ( int arr [ ] , int n ) {
  int min_Steps = 0 ;
  for ( int i = 0 ;
  i < n ;
  i ++ ) {
    if ( i > 0 ) min_Steps += Math . abs ( arr [ i ] - arr [ i - 1 ] ) ;
    else min_Steps += Math . abs ( arr [ i ] ) ;
  }
  return min_Steps ;
}
","public static int minSteps ( int arr [ ] , int n ) {
  int min_Steps = 0 ;
  int i = 0 ;
  while ( i < n ) {
    if ( 0 < i ) min_Steps = min_Steps + Math . abs ( arr [ i ] - arr [ i - 1 ] ) ;
    else min_Steps = min_Steps + Math . abs ( arr [ i ] ) ;
    i ++ ;
  }
  return min_Steps ;
}"
54,"static String smallestPoss ( String s , int n ) {
  String ans = """" ;
  int arr [ ] = new int [ 10 ] ;
  for ( int i = 0 ;
  i < n ;
  i ++ ) {
    arr [ s . charAt ( i ) - 48 ] ++ ;
  }
  for ( int i = 0 ;
  i < 10 ;
  i ++ ) {
    for ( int j = 0 ;
    j < arr [ i ] ;
    j ++ ) ans = ans + String . valueOf ( i ) ;
  }
  return ans ;
}
","static String smlalestMeet ( String s , int n ) {
  String ans = """" ;
  int arr [ ] = new int [ 10 ] ;
  for ( int i = 0 ;
  i < n ;
  i ++ ) {
    arr [ s . charAt ( i ) - 48 ] ++ ;
  }
  for ( int i = 0 ;
  i < 10 ;
  i ++ ) {
    for ( int j = 0 ;
    j < arr [ i ] ;
    j ++ ) ans = ans + String . valueOf ( i ) ;
  }
  return ans ;
}
","static String smallestPoss ( String s , int n ) {
  String ans = """" ;
  int arr [ ] = new int [ 10 ] ;
  for ( int i = 0 ;
  i < n ;
  i ++ ) {
    arr [ s . charAt ( i ) - 48 ] ++ ;
  }
  int i = 0 ;
  while ( i < 10 ) {
    for ( int j = 0 ;
    arr [ i ] > j ;
    j ++ ) ans = ans + String . valueOf ( i ) ;
    i ++ ;
  }
  return ans ;
}"
55,"static int numLen ( int K ) {
  if ( K % 2 == 0 || K % 5 == 0 ) {
    return - 1 ;
  }
  int number = 0 ;
  int len = 1 ;
  for ( len = 1 ;
  len <= K ;
  len ++ ) {
    number = number * 10 + 1 ;
    if ( ( number % K == 0 ) ) {
      return len ;
    }
  }
  return - 1 ;
}
","static int nmuLen ( int K ) {
  if ( K % 2 == 0 || K % 5 == 0 ) {
    return - 1 ;
  }
  int number = 0 ;
  int len = 1 ;
  for ( len = 1 ;
  len <= K ;
  len ++ ) {
    number = number * 10 + 1 ;
    if ( ( number % K == 0 ) ) {
      return len ;
    }
  }
  return - 1 ;
}
","static int numLen ( int K ) {
  if ( K % 2 == 0 || 0 == K % 5 ) {
    return - 1 ;
  }
  int number = 0 ;
  int len = 1 ;
  for ( len = 1 ;
  len <= K ;
  len ++ ) {
    number = number * 10 + 1 ;
    if ( ( number % K == 0 ) ) {
      return len ;
    }
  }
  return - 1 ;
}"
56,"static boolean areVowelsInOrder ( String s ) {
  int n = s . length ( ) ;
  char c = ( char ) 64 ;
  for ( int i = 1 ;
  i < n ;
  i ++ ) {
    if ( s . charAt ( i ) == 'a' || s . charAt ( i ) == 'e' || s . charAt ( i ) == 'i' || s . charAt ( i ) == 'o' || s . charAt ( i ) == 'u' ) {
      if ( s . charAt ( i ) < c ) return false ;
      else {
        c = s . charAt ( i ) ;
      }
    }
  }
  return true ;
}
","static boolean areVwoelsRangeHut ( String s ) {
  int n = s . length ( ) ;
  char c = ( char ) 64 ;
  for ( int i = 1 ;
  i < n ;
  i ++ ) {
    if ( s . charAt ( i ) == 'a' || s . charAt ( i ) == 'e' || s . charAt ( i ) == 'i' || s . charAt ( i ) == 'o' || s . charAt ( i ) == 'u' ) {
      if ( s . charAt ( i ) < c ) return false ;
      else {
        c = s . charAt ( i ) ;
      }
    }
  }
  return true ;
}
","static boolean areVowelsInOrder ( String s ) {
  int n = s . length ( ) ;
  char c = ( char ) 64 ;
  for ( int i = 1 ;
  i < n ;
  i ++ ) {
    if ( s . charAt ( i ) == 'a' || 'e' == s . charAt ( i ) || s . charAt ( i ) == 'i' || s . charAt ( i ) == 'o' || s . charAt ( i ) == 'u' ) {
      if ( s . charAt ( i ) < c ) return false ;
      else {
        c = s . charAt ( i ) ;
      }
    }
  }
  return true ;
}"
57,"static String newString ( String s ) {
  int l = s . length ( ) ;
  int freq [ ] = new int [ 26 ] ;
  for ( int i = 0 ;
  i < l ;
  i ++ ) {
    freq [ s . charAt ( i ) - 'a' ] += 1 ;
  }
  String ans = """" ;
  for ( int i = 0 ;
  i < 26 ;
  i ++ ) {
    for ( int j = 0 ;
    j < freq [ i ] ;
    j ++ ) {
      ans += ( char ) ( 97 + i ) ;
    }
  }
  return ans ;
}
","static String newSrting ( String s ) {
  int l = s . length ( ) ;
  int freq [ ] = new int [ 26 ] ;
  for ( int i = 0 ;
  i < l ;
  i ++ ) {
    freq [ s . charAt ( i ) - 'a' ] += 1 ;
  }
  String ans = """" ;
  for ( int i = 0 ;
  i < 26 ;
  i ++ ) {
    for ( int j = 0 ;
    j < freq [ i ] ;
    j ++ ) {
      ans += ( char ) ( 97 + i ) ;
    }
  }
  return ans ;
}
","static String newString ( String s ) {
  int l = s . length ( ) ;
  int freq [ ] = new int [ 26 ] ;
  for ( int i = 0 ;
  l > i ;
  i ++ ) {
    freq [ s . charAt ( i ) - 'a' ] += 1 ;
  }
  String ans = """" ;
  for ( int i = 0 ;
  i < 26 ;
  i ++ ) {
    for ( int j = 0 ;
    j < freq [ i ] ;
    j ++ ) {
      ans = ans + ( char ) ( 97 + i ) ;
    }
  }
  return ans ;
}"
58,"static int countSubarray ( int arr [ ] , int n , int k ) {
  int count = 0 ;
  for ( int i = 0 ;
  i < n ;
  i ++ ) {
    int sum = 0 ;
    for ( int j = i ;
    j < n ;
    j ++ ) {
      if ( sum + arr [ j ] < k ) {
        sum = arr [ j ] + sum ;
        count ++ ;
      }
      else {
        break ;
      }
    }
  }
  return count ;
}
","static int countPublic ( int arr [ ] , int n , int k ) {
  int count = 0 ;
  for ( int i = 0 ;
  i < n ;
  i ++ ) {
    int sum = 0 ;
    for ( int j = i ;
    j < n ;
    j ++ ) {
      if ( sum + arr [ j ] < k ) {
        sum = arr [ j ] + sum ;
        count ++ ;
      }
      else {
        break ;
      }
    }
  }
  return count ;
}
","static int countSubarray ( int arr [ ] , int n , int k ) {
  int count = 0 ;
  int i = 0 ;
  while ( i < n ) {
    int sum = 0 ;
    for ( int j = i ;
    j < n ;
    j ++ ) {
      if ( sum + arr [ j ] >= k ) {
        i ++ ;
        break ;
      }
      else {
        sum = arr [ j ] + sum ;
        count ++ ;
      }
    }
    i ++ ;
  }
  return count ;
}"
59,"static int findTwoThreePrime ( int l , int r ) {
  if ( l == 1 ) l ++ ;
  int count = 0 ;
  for ( int i = l ;
  i <= r ;
  i ++ ) {
    int num = i ;
    while ( num % 2 == 0 ) num /= 2 ;
    while ( num % 3 == 0 ) num /= 3 ;
    if ( num == 1 ) count ++ ;
  }
  return count ;
}
","static int fnidTwoWthPrime ( int l , int r ) {
  if ( l == 1 ) l ++ ;
  int count = 0 ;
  for ( int i = l ;
  i <= r ;
  i ++ ) {
    int num = i ;
    while ( num % 2 == 0 ) num /= 2 ;
    while ( num % 3 == 0 ) num /= 3 ;
    if ( num == 1 ) count ++ ;
  }
  return count ;
}
","static int findTwoThreePrime ( int l , int r ) {
  if ( l == 1 ) l ++ ;
  int count = 0 ;
  int i = l ;
  while ( i <= r ) {
    int num = i ;
    while ( num % 2 == 0 ) num /= 2 ;
    while ( num % 3 == 0 ) num /= 3 ;
    if ( 1 == num ) count ++ ;
    i ++ ;
  }
  return count ;
}"
60,"static int validPosition ( int arr [ ] , int N , int K ) {
  int count = 0 , sum = 0 ;
  for ( int i = 0 ;
  i < N ;
  i ++ ) {
    sum += arr [ i ] ;
  }
  for ( int i = 0 ;
  i < N ;
  i ++ ) {
    if ( ( arr [ i ] + K ) > ( sum - arr [ i ] ) ) count ++ ;
  }
  return count ;
}
","static int valdiPosition ( int arr [ ] , int N , int K ) {
  int count = 0 , sum = 0 ;
  for ( int i = 0 ;
  i < N ;
  i ++ ) {
    sum += arr [ i ] ;
  }
  for ( int i = 0 ;
  i < N ;
  i ++ ) {
    if ( ( arr [ i ] + K ) > ( sum - arr [ i ] ) ) count ++ ;
  }
  return count ;
}
","static int validPosition ( int arr [ ] , int N , int K ) {
  int count = 0 , sum = 0 ;
  for ( int i = 0 ;
  i < N ;
  i ++ ) {
    sum += arr [ i ] ;
  }
  for ( int i = 0 ;
  N > i ;
  i ++ ) {
    if ( ( arr [ i ] + K ) > ( sum - arr [ i ] ) ) count ++ ;
  }
  return count ;
}"
61,"static int maxSumLCM ( int n ) {
  int max_sum = 0 ;
  for ( int i = 1 ;
  i * i <= n ;
  i ++ ) {
    if ( n % i == 0 ) {
      max_sum += i ;
      if ( n / i != i ) max_sum += ( n / i ) ;
    }
  }
  return max_sum ;
}
","static int maxPrefixCCM ( int n ) {
  int max_sum = 0 ;
  for ( int i = 1 ;
  i * i <= n ;
  i ++ ) {
    if ( n % i == 0 ) {
      max_sum += i ;
      if ( n / i != i ) max_sum += ( n / i ) ;
    }
  }
  return max_sum ;
}
","static int maxSumLCM ( int n ) {
  int max_sum = 0 ;
  for ( int i = 1 ;
  n >= i * i ;
  i ++ ) {
    if ( n % i == 0 ) {
      max_sum = max_sum + i ;
      if ( n / i != i ) max_sum = max_sum + ( n / i ) ;
    }
  }
  return max_sum ;
}"
62,"static int longestSubArray ( int arr [ ] , int n ) {
  boolean isZeroPresent = false ;
  for ( int i = 0 ;
  i < n ;
  i ++ ) {
    if ( arr [ i ] == 0 ) {
      isZeroPresent = true ;
      break ;
    }
  }
  if ( isZeroPresent ) return n ;
  return 0 ;
}
","static int querySubArary ( int arr [ ] , int n ) {
  boolean isZeroPresent = false ;
  for ( int i = 0 ;
  i < n ;
  i ++ ) {
    if ( arr [ i ] == 0 ) {
      isZeroPresent = true ;
      break ;
    }
  }
  if ( isZeroPresent ) return n ;
  return 0 ;
}
","static int longestSubArray ( int arr [ ] , int n ) {
  boolean isZeroPresent = false ;
  for ( int i = 0 ;
  n > i ;
  i ++ ) {
    if ( arr [ i ] == 0 ) {
      isZeroPresent = true ;
      break ;
    }
  }
  if ( isZeroPresent ) return n ;
  return 0 ;
}"
63,"static int countSolutions ( int a ) {
  int count = 0 ;
  for ( int i = 0 ;
  i <= a ;
  i ++ ) {
    if ( a == ( i + ( a ^ i ) ) ) count ++ ;
  }
  return count ;
}
","static int cuontSolutions ( int a ) {
  int count = 0 ;
  for ( int i = 0 ;
  i <= a ;
  i ++ ) {
    if ( a == ( i + ( a ^ i ) ) ) count ++ ;
  }
  return count ;
}
","static int countSolutions ( int a ) {
  int count = 0 ;
  for ( int i = 0 ;
  a >= i ;
  i ++ ) {
    if ( a == ( i + ( a ^ i ) ) ) count ++ ;
  }
  return count ;
}"
64,"static float sumOfAP ( float a , float d , int n ) {
  float sum = 0 ;
  for ( int i = 0 ;
  i < n ;
  i ++ ) {
    sum = sum + a ;
    a = a + d ;
  }
  return sum ;
}
","static float currOfAD ( float a , float d , int n ) {
  float sum = 0 ;
  for ( int i = 0 ;
  i < n ;
  i ++ ) {
    sum = sum + a ;
    a = a + d ;
  }
  return sum ;
}
","static float sumOfAP ( float a , float d , int n ) {
  float sum = 0 ;
  for ( int i = 0 ;
  n > i ;
  i ++ ) {
    sum = sum + a ;
    a = a + d ;
  }
  return sum ;
}"
65,"static int findNthNumber ( int A , int B , int N ) {
  int sum = 0 ;
  for ( int i = 2 ;
  i < N ;
  i ++ ) {
    sum = A + B ;
    A = B ;
    B = sum ;
  }
  return sum ;
}
","static int cocktailNthNth ( int A , int B , int N ) {
  int sum = 0 ;
  for ( int i = 2 ;
  i < N ;
  i ++ ) {
    sum = A + B ;
    A = B ;
    B = sum ;
  }
  return sum ;
}
","static int findNthNumber ( int A , int B , int N ) {
  int sum = 0 ;
  int i = 2 ;
  while ( i < N ) {
    sum = A + B ;
    A = B ;
    B = sum ;
    i ++ ;
  }
  return sum ;
}"
66,"static int countChars ( String str , int n ) {
  int i = 0 , cnt = 0 ;
  while ( i < n ) {
    if ( str . charAt ( i ) == '0' ) i += 1 ;
    else i += 2 ;
    cnt += 1 ;
  }
  return cnt ;
}
","static int coutChrs ( String str , int n ) {
  int i = 0 , cnt = 0 ;
  while ( i < n ) {
    if ( str . charAt ( i ) == '0' ) i += 1 ;
    else i += 2 ;
    cnt += 1 ;
  }
  return cnt ;
}
","static int countChars ( String str , int n ) {
  int i = 0 , cnt = 0 ;
  while ( n > i ) {
    if ( str . charAt ( i ) == '0' ) i = i + 1 ;
    else i = i + 2 ;
    cnt = cnt + 1 ;
  }
  return cnt ;
}"
67,"static int countMaxSetBits ( int left , int right ) {
  while ( ( left | ( left + 1 ) ) <= right ) left |= left + 1 ;
  return left ;
}
","static int cuntMaxSetAdjacent ( int left , int right ) {
  while ( ( left | ( left + 1 ) ) <= right ) left |= left + 1 ;
  return left ;
}
","static int countMaxSetBits ( int left , int right ) {
  while ( right >= ( left | ( left + 1 ) ) ) left |= left + 1 ;
  return left ;
}"
68,"static boolean canMakeEqual ( int a [ ] , int n ) {
  for ( int i = 0 ;
  i < n ;
  i ++ ) {
    while ( a [ i ] % 5 == 0 ) {
      a [ i ] /= 5 ;
    }
    while ( a [ i ] % 3 == 0 ) {
      a [ i ] /= 3 ;
    }
  }
  int last = a [ 0 ] ;
  for ( int i = 1 ;
  i < n ;
  i ++ ) {
    if ( a [ i ] != last ) {
      return false ;
    }
  }
  return true ;
}
","static boolean canCanEuqal ( int a [ ] , int n ) {
  for ( int i = 0 ;
  i < n ;
  i ++ ) {
    while ( a [ i ] % 5 == 0 ) {
      a [ i ] /= 5 ;
    }
    while ( a [ i ] % 3 == 0 ) {
      a [ i ] /= 3 ;
    }
  }
  int last = a [ 0 ] ;
  for ( int i = 1 ;
  i < n ;
  i ++ ) {
    if ( a [ i ] != last ) {
      return false ;
    }
  }
  return true ;
}
","static boolean canMakeEqual ( int a [ ] , int n ) {
  for ( int i = 0 ;
  i < n ;
  i ++ ) {
    while ( a [ i ] % 5 == 0 ) {
      a [ i ] /= 5 ;
    }
    for ( ;
    a [ i ] % 3 == 0 ;
    ) {
      a [ i ] /= 3 ;
    }
  }
  int last = a [ 0 ] ;
  for ( int i = 1 ;
  i < n ;
  i ++ ) {
    if ( last != a [ i ] ) {
      return false ;
    }
  }
  return true ;
}"
69,"public static int averageValue ( String s ) {
  int sum_char = 0 ;
  for ( int i = 0 ;
  i < s . length ( ) ;
  i ++ ) {
    sum_char += ( int ) s . charAt ( i ) ;
  }
  return sum_char / s . length ( ) ;
}
","public static int spiralPositive ( String s ) {
  int sum_char = 0 ;
  for ( int i = 0 ;
  i < s . length ( ) ;
  i ++ ) {
    sum_char += ( int ) s . charAt ( i ) ;
  }
  return sum_char / s . length ( ) ;
}
","public static int averageValue ( String s ) {
  int sum_char = 0 ;
  int i = 0 ;
  while ( s . length ( ) > i ) {
    sum_char = sum_char + ( int ) s . charAt ( i ) ;
    i ++ ;
  }
  return sum_char / s . length ( ) ;
}"
70,"static int calSum ( int n ) {
  int a = 3 , b = 0 , c = 2 ;
  if ( n == 0 ) return 3 ;
  if ( n == 1 ) return 3 ;
  if ( n == 2 ) return 5 ;
  int sum = 5 ;
  while ( n > 2 ) {
    int d = a + b ;
    sum += d ;
    a = b ;
    b = c ;
    c = d ;
    n -- ;
  }
  return sum ;
}
","static int claPrefix ( int n ) {
  int a = 3 , b = 0 , c = 2 ;
  if ( n == 0 ) return 3 ;
  if ( n == 1 ) return 3 ;
  if ( n == 2 ) return 5 ;
  int sum = 5 ;
  while ( n > 2 ) {
    int d = a + b ;
    sum += d ;
    a = b ;
    b = c ;
    c = d ;
    n -- ;
  }
  return sum ;
}
","static int calSum ( int n ) {
  int a = 3 , b = 0 , c = 2 ;
  if ( n == 0 ) return 3 ;
  if ( n == 1 ) return 3 ;
  if ( n == 2 ) return 5 ;
  int sum = 5 ;
  for ( ;
  n > 2 ;
  ) {
    int d = a + b ;
    sum = sum + d ;
    a = b ;
    b = c ;
    c = d ;
    n -- ;
  }
  return sum ;
}"
71,"static boolean areVowelsInOrder ( String s ) {
  int n = s . length ( ) ;
  char c = ( char ) 64 ;
  for ( int i = 1 ;
  i < n ;
  i ++ ) {
    if ( s . charAt ( i ) == 'a' || s . charAt ( i ) == 'e' || s . charAt ( i ) == 'i' || s . charAt ( i ) == 'o' || s . charAt ( i ) == 'u' ) {
      if ( s . charAt ( i ) < c ) return false ;
      else {
        c = s . charAt ( i ) ;
      }
    }
  }
  return true ;
}
","static boolean areVowelsRangeOredr ( String s ) {
  int n = s . length ( ) ;
  char c = ( char ) 64 ;
  for ( int i = 1 ;
  i < n ;
  i ++ ) {
    if ( s . charAt ( i ) == 'a' || s . charAt ( i ) == 'e' || s . charAt ( i ) == 'i' || s . charAt ( i ) == 'o' || s . charAt ( i ) == 'u' ) {
      if ( s . charAt ( i ) < c ) return false ;
      else {
        c = s . charAt ( i ) ;
      }
    }
  }
  return true ;
}
","static boolean areVowelsInOrder ( String s ) {
  int n = s . length ( ) ;
  char c = ( char ) 64 ;
  int i = 1 ;
  while ( i < n ) {
    if ( 'a' == s . charAt ( i ) || s . charAt ( i ) == 'e' || s . charAt ( i ) == 'i' || s . charAt ( i ) == 'o' || s . charAt ( i ) == 'u' ) {
      if ( s . charAt ( i ) < c ) i ++ ;
      return false ;
      else {
        c = s . charAt ( i ) ;
      }
    }
    i ++ ;
  }
  return true ;
}"
72,"static int countSubarray ( int arr [ ] , int n , int k ) {
  int count = 0 ;
  for ( int i = 0 ;
  i < n ;
  i ++ ) {
    int sum = 0 ;
    for ( int j = i ;
    j < n ;
    j ++ ) {
      if ( sum + arr [ j ] < k ) {
        sum = arr [ j ] + sum ;
        count ++ ;
      }
      else {
        break ;
      }
    }
  }
  return count ;
}
","static int cntLongest ( int arr [ ] , int n , int k ) {
  int count = 0 ;
  for ( int i = 0 ;
  i < n ;
  i ++ ) {
    int sum = 0 ;
    for ( int j = i ;
    j < n ;
    j ++ ) {
      if ( sum + arr [ j ] < k ) {
        sum = arr [ j ] + sum ;
        count ++ ;
      }
      else {
        break ;
      }
    }
  }
  return count ;
}
","static int countSubarray ( int arr [ ] , int n , int k ) {
  int count = 0 ;
  int i = 0 ;
  while ( i < n ) {
    int sum = 0 ;
    for ( int j = i ;
    j < n ;
    j ++ ) {
      if ( sum + arr [ j ] < k ) {
        sum = arr [ j ] + sum ;
        count ++ ;
      }
      else {
        i ++ ;
        break ;
      }
    }
    i ++ ;
  }
  return count ;
}"
73,"static boolean check ( int a [ ] , int n ) {
  if ( n % 2 == 1 ) return false ;
  for ( int i = 0 ;
  i < n / 2 ;
  i ++ ) {
    if ( a [ i ] != a [ i + ( n / 2 ) ] ) return false ;
  }
  return true ;
}
","static boolean alternate ( int a [ ] , int n ) {
  if ( n % 2 == 1 ) return false ;
  for ( int i = 0 ;
  i < n / 2 ;
  i ++ ) {
    if ( a [ i ] != a [ i + ( n / 2 ) ] ) return false ;
  }
  return true ;
}
","static boolean check ( int a [ ] , int n ) {
  if ( n % 2 == 1 ) return false ;
  for ( int i = 0 ;
  n / 2 > i ;
  i ++ ) {
    if ( a [ i ] != a [ i + ( n / 2 ) ] ) return false ;
  }
  return true ;
}"
74,"static int minReplacement ( String s , int len ) {
  int ans = 0 ;
  for ( int i = 0 ;
  i < len ;
  i ++ ) {
    if ( i % 2 == 0 && s . charAt ( i ) == '1' ) ans ++ ;
    if ( i % 2 == 1 && s . charAt ( i ) == '0' ) ans ++ ;
  }
  return Math . min ( ans , len - ans ) ;
}
","static int maxReplacement ( String s , int len ) {
  int ans = 0 ;
  for ( int i = 0 ;
  i < len ;
  i ++ ) {
    if ( i % 2 == 0 && s . charAt ( i ) == '1' ) ans ++ ;
    if ( i % 2 == 1 && s . charAt ( i ) == '0' ) ans ++ ;
  }
  return Math . min ( ans , len - ans ) ;
}
","static int minReplacement ( String s , int len ) {
  int ans = 0 ;
  int i = 0 ;
  while ( i < len ) {
    if ( i % 2 == 0 && s . charAt ( i ) == '1' ) ans ++ ;
    if ( 1 == i % 2 && s . charAt ( i ) == '0' ) ans ++ ;
    i ++ ;
  }
  return Math . min ( ans , len - ans ) ;
}"
75,"static boolean check ( int a [ ] , int n ) {
  for ( int i = 0 ;
  i < n ;
  i ++ ) if ( a [ i ] == 1 ) return true ;
  return false ;
}
","static boolean chck ( int a [ ] , int n ) {
  for ( int i = 0 ;
  i < n ;
  i ++ ) if ( a [ i ] == 1 ) return true ;
  return false ;
}
","static boolean check ( int a [ ] , int n ) {
  int i = 0 ;
  while ( i < n ) {
    if ( 1 == a [ i ] ) i ++ ;
    return true ;
    i ++ ;
  }
  return false ;
}"
76,"static int calculateAreaSum ( int l , int b ) {
  int size = 1 ;
  int maxSize = Math . min ( l , b ) ;
  int totalArea = 0 ;
  for ( int i = 1 ;
  i <= maxSize ;
  i ++ ) {
    int totalSquares = ( l - size + 1 ) * ( b - size + 1 ) ;
    int area = totalSquares * size * size ;
    totalArea += area ;
    size ++ ;
  }
  return totalArea ;
}
","static int calculateReuleauxSm ( int l , int b ) {
  int size = 1 ;
  int maxSize = Math . min ( l , b ) ;
  int totalArea = 0 ;
  for ( int i = 1 ;
  i <= maxSize ;
  i ++ ) {
    int totalSquares = ( l - size + 1 ) * ( b - size + 1 ) ;
    int area = totalSquares * size * size ;
    totalArea += area ;
    size ++ ;
  }
  return totalArea ;
}
","static int calculateAreaSum ( int l , int b ) {
  int size = 1 ;
  int maxSize = Math . min ( l , b ) ;
  int totalArea = 0 ;
  for ( int i = 1 ;
  maxSize >= i ;
  i ++ ) {
    int totalSquares = ( l - size + 1 ) * ( b - size + 1 ) ;
    int area = totalSquares * size * size ;
    totalArea += area ;
    size ++ ;
  }
  return totalArea ;
}"
